Label,EmailText
0,HR Policy Updates Please find attached the project updates and timeline.
0,HR Policy Updates Let me know if 3 PM works for the meeting.
0,HR Policy Updates Your quarterly review is scheduled for next week.
1,Your account has been suspended Click the link below to verify your account immediately.
1,Claim your reward today! Reset your credentials to avoid security issues.
0,Workshop on Cybersecurity Join us for a fun team outing this Friday evening.
1,Action required: Verify your identity You have an unclaimed reward. Act now!
0,Meeting rescheduled to 3 PM Check out our latest updates in the June newsletter.
0,Reminder: Submit your timesheet Welcome our new team members and join the onboarding session.
0,New employee onboarding Welcome our new team members and join the onboarding session.
0,Team outing this Friday You are invited to attend the cybersecurity awareness workshop.
1,Confirm your account information Reset your credentials to avoid security issues.
1,Your account has been suspended Congratulations! You've won a gift card. Claim it by clicking here.
0,Quarterly performance review Your quarterly review is scheduled for next week.
0,HR Policy Updates Check out our latest updates in the June newsletter.
0,Reminder: Submit your timesheet Please find attached the project updates and timeline.
0,Invoice for May services Welcome our new team members and join the onboarding session.
0,Reminder: Submit your timesheet Let me know if 3 PM works for the meeting.
0,Team outing this Friday Your quarterly review is scheduled for next week.
0,Meeting rescheduled to 3 PM Your quarterly review is scheduled for next week.
0,New employee onboarding Your quarterly review is scheduled for next week.
1,Suspicious login attempt detected You have an unclaimed reward. Act now!
1,Confirm your account information Your account has been compromised. Update your password now.
1,Claim your reward today! You have an unclaimed reward. Act now!
1,Unusual activity found Click the link below to verify your account immediately.
0,Invoice for May services Welcome our new team members and join the onboarding session.
1,Reset your password now Verify your account details to continue using our services.
0,Quarterly performance review This is a reminder to submit your timesheet by EOD.
0,HR Policy Updates Let me know if 3 PM works for the meeting.
1,Reset your password now Reactivate your account by logging in through this link.
0,Meeting rescheduled to 3 PM Welcome our new team members and join the onboarding session.
1,Urgent: Update your password Provide your personal information to restore access.
1,Suspicious login attempt detected Reactivate your account by logging in through this link.
1,Your account has been suspended We noticed a suspicious login attempt. Confirm your identity.
0,Workshop on Cybersecurity This is a reminder to submit your timesheet by EOD.
0,Quarterly performance review Let me know if 3 PM works for the meeting.
1,Confirm your account information You have an unclaimed reward. Act now!
1,Confirm your account information Click the link below to verify your account immediately.
0,Project update and next steps Attached is the invoice for services rendered in May.
1,Claim your reward today! Failure to update will result in account suspension.
1,You've won a prize! We noticed a suspicious login attempt. Confirm your identity.
0,Workshop on Cybersecurity Let me know if 3 PM works for the meeting.
0,New employee onboarding Attached is the invoice for services rendered in May.
0,Quarterly performance review Check out our latest updates in the June newsletter.
1,Unusual activity found Click the link below to verify your account immediately.
1,Urgent: Update your password Reactivate your account by logging in through this link.
0,Invoice for May services Please find attached the project updates and timeline.
1,Final notice: Your invoice is due Your account has been compromised. Update your password now.
1,Unusual activity found You have an unclaimed reward. Act now!
0,Workshop on Cybersecurity Join us for a fun team outing this Friday evening.
0,Team outing this Friday Join us for a fun team outing this Friday evening.
0,Invoice for May services You are invited to attend the cybersecurity awareness workshop.
1,Urgent: Update your password Congratulations! You've won a gift card. Claim it by clicking here.
0,Weekly newsletter - June Edition Here are the updates to the HR policy for your review.
1,Confirm your account information Verify your account details to continue using our services.
0,Meeting rescheduled to 3 PM Please find attached the project updates and timeline.
0,Invoice for May services This is a reminder to submit your timesheet by EOD.
1,Claim your reward today! Reset your credentials to avoid security issues.
1,Reset your password now We noticed a suspicious login attempt. Confirm your identity.
0,Invoice for May services Welcome our new team members and join the onboarding session.
1,Final notice: Your invoice is due Reactivate your account by logging in through this link.
0,Quarterly performance review Check out our latest updates in the June newsletter.
1,Unusual activity found We noticed a suspicious login attempt. Confirm your identity.
0,Reminder: Submit your timesheet Please find attached the project updates and timeline.
1,Your account has been suspended Reactivate your account by logging in through this link.
0,Reminder: Submit your timesheet Join us for a fun team outing this Friday evening.
0,Reminder: Submit your timesheet Let me know if 3 PM works for the meeting.
0,Invoice for May services Join us for a fun team outing this Friday evening.
1,Suspicious login attempt detected Provide your personal information to restore access.
1,You've won a prize! Reactivate your account by logging in through this link.
0,HR Policy Updates Attached is the invoice for services rendered in May.
0,HR Policy Updates This is a reminder to submit your timesheet by EOD.
0,Invoice for May services Please find attached the project updates and timeline.
1,Suspicious login attempt detected Congratulations! You've won a gift card. Claim it by clicking here.
1,Your account has been suspended Reactivate your account by logging in through this link.
0,Workshop on Cybersecurity Let me know if 3 PM works for the meeting.
0,New employee onboarding This is a reminder to submit your timesheet by EOD.
1,Unusual activity found Provide your personal information to restore access.
0,Invoice for May services This is a reminder to submit your timesheet by EOD.
0,Weekly newsletter - June Edition Let me know if 3 PM works for the meeting.
1,Your account has been suspended Click the link below to verify your account immediately.
1,Action required: Verify your identity Reset your credentials to avoid security issues.
0,Workshop on Cybersecurity Join us for a fun team outing this Friday evening.
0,Team outing this Friday Here are the updates to the HR policy for your review.
0,Project update and next steps Your quarterly review is scheduled for next week.
1,Unusual activity found Your account has been compromised. Update your password now.
1,Unusual activity found Congratulations! You've won a gift card. Claim it by clicking here.
1,Confirm your account information Reset your credentials to avoid security issues.
0,HR Policy Updates Attached is the invoice for services rendered in May.
0,Weekly newsletter - June Edition Let me know if 3 PM works for the meeting.
0,Invoice for May services This is a reminder to submit your timesheet by EOD.
0,Reminder: Submit your timesheet Your quarterly review is scheduled for next week.
1,Suspicious login attempt detected We noticed a suspicious login attempt. Confirm your identity.
1,Urgent: Update your password Reset your credentials to avoid security issues.
0,HR Policy Updates Your quarterly review is scheduled for next week.
0,Invoice for May services Let me know if 3 PM works for the meeting.
0,Quarterly performance review Your quarterly review is scheduled for next week.
0,Weekly newsletter - June Edition This is a reminder to submit your timesheet by EOD.
1,Action required: Verify your identity Provide your personal information to restore access.
0,Team outing this Friday You are invited to attend the cybersecurity awareness workshop.
1,Urgent: Update your password We noticed a suspicious login attempt. Confirm your identity.
1,Your account has been suspended Provide your personal information to restore access.
1,Suspicious login attempt detected Congratulations! You've won a gift card. Claim it by clicking here.
0,Invoice for May services Please find attached the project updates and timeline.
0,Team outing this Friday Let me know if 3 PM works for the meeting.
1,Urgent: Update your password Verify your account details to continue using our services.
1,Final notice: Your invoice is due Click the link below to verify your account immediately.
1,Your account has been suspended Congratulations! You've won a gift card. Claim it by clicking here.
1,Reset your password now Failure to update will result in account suspension.
0,Weekly newsletter - June Edition Your quarterly review is scheduled for next week.
1,Reset your password now Click the link below to verify your account immediately.
1,Urgent: Update your password Click the link below to verify your account immediately.
1,Reset your password now Congratulations! You've won a gift card. Claim it by clicking here.
0,Weekly newsletter - June Edition You are invited to attend the cybersecurity awareness workshop.
1,Reset your password now Congratulations! You've won a gift card. Claim it by clicking here.
1,Unusual activity found Your account has been compromised. Update your password now.
1,Reset your password now Congratulations! You've won a gift card. Claim it by clicking here.
1,Unusual activity found Reactivate your account by logging in through this link.
0,Quarterly performance review Check out our latest updates in the June newsletter.
0,Meeting rescheduled to 3 PM Please find attached the project updates and timeline.
0,Meeting rescheduled to 3 PM You are invited to attend the cybersecurity awareness workshop.
1,Confirm your account information Reset your credentials to avoid security issues.
1,Claim your reward today! You have an unclaimed reward. Act now!
0,New employee onboarding You are invited to attend the cybersecurity awareness workshop.
1,You've won a prize! Your account has been compromised. Update your password now.
0,HR Policy Updates Welcome our new team members and join the onboarding session.
1,Suspicious login attempt detected You have an unclaimed reward. Act now!
0,New employee onboarding Please find attached the project updates and timeline.
1,Claim your reward today! Reactivate your account by logging in through this link.
0,Project update and next steps Check out our latest updates in the June newsletter.
1,Urgent: Update your password You have an unclaimed reward. Act now!
0,HR Policy Updates Join us for a fun team outing this Friday evening.
1,Your account has been suspended Congratulations! You've won a gift card. Claim it by clicking here.
